Name	Typ	Passive: Attribut	Extra Passive	Aktiv
Dolch	Item / Waffe	Geschick +1	1 Schaden, Simpel	
Kurzschwert	Item / Waffe	Geschick +1	1 Schaden, Simpel	
Kampfstab	Item / Waffe	Geschick +1	2 Schaden, Groß	
Speer	Item / Waffe	Geschick +1	2 Schaden, Groß	
Schleuder	Item / Waffe	Geschick +1	1 Schaden, Fernkampf	
Bogen	Item / Waffe	Geschick +1	2 Schaden, Groß, Fernkampf	
Keule	Item / Waffe	Stärke +1	1 Schaden	
Streitkolben	Item / Waffe	Stärke +1	1 Schaden	
Schwert	Item / Waffe	Stärke +1	1 Schaden	
Zweihänder	Item / Waffe	Stärke +1	2 Schaden, Groß	
Hammer	Item / Waffe	Stärke +1	2 Schaden, Groß	
Axt	Item / Waffe	Stärke +1	2 Schaden, Groß	
Armbrust	Item / Waffe	Stärke +1	2 Schaden, Groß, Fernkampf	
Zauberstab	Item / Waffe	Weisheit +1	2 Schaden, Groß, Fernkampf	
				
Schild	Item / Schild	Stärke +1		Reaktion: Opfer Item für Vorteil auf Verteidigung.
Tuchrüstung	Item / Rüstung	Geschick +1		
Lederrüstung	Item / Rüstung	Geschick +1		
Kettenhemd	Item / Rüstung	Stärke +1		
Schuppenpanzer	Item / Rüstung	Stärke +1		
Schutzschild	Item / Rüstung	Weisheit +1		
				
Schmuck	Item / Sonstiges	Charisma +1		
Edle Kleidung	Item / Sonstiges	Charisma +1		
Ring des Charisma	Item / Sonstiges	Charisma +1		
Brechstange	Item / Sonstiges	Gerissenheit +1		
Dietrich	Item / Sonstiges	Gerissenheit +1		
Attemmaske	Item / Sonstiges	Gerissenheit +1	Schützt vor Giftgas	
Abblendlaterne	Item / Sonstiges	Gerissenheit +1		
Ring der Gerissenheit	Item / Sonstiges	Gerissenheit +1		
Ringe der Geschicklichkeit	Item / Sonstiges	Geschick +1		
Ringe der Stärke	Item / Sonstiges	Stärke +1		
Waffenpflegeset	Item / Sonstiges	Stärke +1		
Foliant	Item / Sonstiges	Weisheit +1		
Papier & Stiffte	Item / Sonstiges	Weisheit +1		
Ring der Weisheit	Item / Sonstiges	Weisheit +1		
Heiltrank	Item / Sonstiges	Stärke +1		Aktion: Opfer Item um bei dir selbst 2 Wunden zu heilen.
				
Vorräte	Item / Sonstiges			Opfere eine Vorratskarte, um einen der folgenden Gegenstände dabei zu haben: Fackel (brennt 1 Stunde), Laterne (brennt 1 Stunde), Seil, Kletterausrüstung, Proviant für einen Tag, ein simples Werkzeug (z. B. Hammer, Säge, Zange)
