Name	Type	Passive: Attribut	Extra Passive	Aktiv
Elf	Hintergrund	Geschick +1		Erhalte Vorteil auf eine Fernkampfattacke oder Zauberprobe.
Elf	Hintergrund	Weisheit +1		Erhalte Vorteil auf eine Fernkampfattacke oder Zauberprobe.
Zwerg	Hintergrund	Stärke +1		Erhalte Vorteil auf eine Verteidigungsprobe.
Zwerg	Hintergrund	Weisheit +1		Erhalte Vorteil auf eine Verteidigungsprobe.
Halbling	Hintergrund	Gerissenheit +1		Wiederhole eine misslungene Probe.
Halbling	Hintergrund	Geschick +1		Wiederhole eine misslungene Probe.
Halbork	Hintergrund	Stärke +1		Erhalte Vorteil auf eine Nahkampfprobe.
Mensch	Hintergrund	Charisma +1		Erhalte Vorteil auf eine beliebige Nichtkampfprobe.
Mensch	Hintergrund	Stärke +1		Erhalte Vorteil auf eine beliebige Nichtkampfprobe.
Mensch	Hintergrund	Gerissenheit +1		Erhalte Vorteil auf eine beliebige Nichtkampfprobe.
Mensch	Hintergrund	Weisheit +1		Erhalte Vorteil auf eine beliebige Nichtkampfprobe.
Mensch	Hintergrund	Geschick +1		Erhalte Vorteil auf eine beliebige Nichtkampfprobe.
Halbelf	Hintergrund	Charisma +1		Erhalte Vorteil auf eine Fernkampfattacke oder Zauberprobe.
Halbelf	Hintergrund	Geschick +1		Erhalte Vorteil auf eine Fernkampfattacke oder Zauberprobe.
